[I 2024-09-19 23:39:18,273] A new study created in memory with name: no-name-e354a574-ef94-4e8c-9d68-64cf2ce3ff8d
[I 2024-09-19 23:39:27,523] Trial 0 finished with value: 0.3449858854078026 and parameters: {'n_estimators': 183, 'max_depth': 8, 'min_child_weight': 9, 'learning_rate': 0.19905030354911354, 'subsample': 0.669326358389216, 'colsample_bytree': 0.6380515673753843, 'colsample_bylevel': 0.8023042626023913, 'gamma': 4.882532266457538, 'reg_alpha': 0.8664852089823155, 'reg_lambda': 8.064116430825486}. Best is trial 0 with value: 0.3449858854078026.
[I 2024-09-19 23:39:31,280] Trial 1 finished with value: 0.509184655648428 and parameters: {'n_estimators': 65, 'max_depth': 3, 'min_child_weight': 4, 'learning_rate': 0.04630744016152754, 'subsample': 0.6923022402603697, 'colsample_bytree': 0.7740796817062834, 'colsample_bylevel': 0.5379533550580375, 'gamma': 3.8374514916999525, 'reg_alpha': 0.5153494719347641, 'reg_lambda': 2.1797651001111817}. Best is trial 0 with value: 0.3449858854078026.
[I 2024-09-19 23:39:51,941] Trial 2 finished with value: 0.3308882618862461 and parameters: {'n_estimators': 570, 'max_depth': 7, 'min_child_weight': 1, 'learning_rate': 0.09991627510941002, 'subsample': 0.5588205327613918, 'colsample_bytree': 0.5814011037703117, 'colsample_bylevel': 0.9712379027956906, 'gamma': 0.9976705080515375, 'reg_alpha': 0.8238232220836327, 'reg_lambda': 5.840195639256345}. Best is trial 2 with value: 0.3308882618862461.
[I 2024-09-19 23:40:21,654] Trial 3 finished with value: 0.3040067750940018 and parameters: {'n_estimators': 856, 'max_depth': 6, 'min_child_weight': 7, 'learning_rate': 0.10316573733452333, 'subsample': 0.7251207730368718, 'colsample_bytree': 0.9094955732875079, 'colsample_bylevel': 0.8347330291578245, 'gamma': 3.8250141129999484, 'reg_alpha': 0.05823098146701844, 'reg_lambda': 1.8242598849222913}. Best is trial 3 with value: 0.3040067750940018.
[I 2024-09-19 23:40:54,702] Trial 4 finished with value: 0.3868120379581177 and parameters: {'n_estimators': 885, 'max_depth': 9, 'min_child_weight': 1, 'learning_rate': 0.024817522103684195, 'subsample': 0.8734422773940957, 'colsample_bytree': 0.5323509121746234, 'colsample_bylevel': 0.6669990711084941, 'gamma': 1.4577859556322847, 'reg_alpha': 0.27087396144844444, 'reg_lambda': 2.6485247641435636}. Best is trial 3 with value: 0.3040067750940018.
[I 2024-09-19 23:41:21,027] Trial 5 finished with value: 0.290082372633229 and parameters: {'n_estimators': 823, 'max_depth': 7, 'min_child_weight': 8, 'learning_rate': 0.14227629021841517, 'subsample': 0.8980739423215645, 'colsample_bytree': 0.5728180694909417, 'colsample_bylevel': 0.6505573674282711, 'gamma': 4.696545099685171, 'reg_alpha': 0.9949430692076603, 'reg_lambda': 3.8466276426013812}. Best is trial 5 with value: 0.290082372633229.
[I 2024-09-19 23:41:30,154] Trial 6 finished with value: 0.440259150437011 and parameters: {'n_estimators': 202, 'max_depth': 7, 'min_child_weight': 4, 'learning_rate': 0.05364717793308583, 'subsample': 0.8931545633044737, 'colsample_bytree': 0.8062971154001526, 'colsample_bylevel': 0.9372560410254946, 'gamma': 1.2057128028446202, 'reg_alpha': 0.6909022473780623, 'reg_lambda': 5.218674858863083}. Best is trial 5 with value: 0.290082372633229.
[I 2024-09-19 23:41:48,299] Trial 7 finished with value: 0.33527672752229415 and parameters: {'n_estimators': 506, 'max_depth': 7, 'min_child_weight': 10, 'learning_rate': 0.10350604842435004, 'subsample': 0.6356005703281637, 'colsample_bytree': 0.8985019524053166, 'colsample_bylevel': 0.786869065128417, 'gamma': 2.1646068911926304, 'reg_alpha': 0.12003924601108518, 'reg_lambda': 9.650634557173426}. Best is trial 5 with value: 0.290082372633229.
[I 2024-09-19 23:42:26,004] Trial 8 finished with value: 0.2772823678514382 and parameters: {'n_estimators': 872, 'max_depth': 10, 'min_child_weight': 10, 'learning_rate': 0.1008422865431884, 'subsample': 0.6898913224812828, 'colsample_bytree': 0.6433131568057666, 'colsample_bylevel': 0.8797197388353146, 'gamma': 2.9202801769657247, 'reg_alpha': 0.567500064002205, 'reg_lambda': 6.690957607415276}. Best is trial 8 with value: 0.2772823678514382.
[I 2024-09-19 23:42:55,264] Trial 9 finished with value: 0.33619044679125576 and parameters: {'n_estimators': 853, 'max_depth': 6, 'min_child_weight': 3, 'learning_rate': 0.06594841790790325, 'subsample': 0.5444682839343468, 'colsample_bytree': 0.843771041224066, 'colsample_bylevel': 0.8859304316632843, 'gamma': 0.7110129466884124, 'reg_alpha': 0.2078380429394705, 'reg_lambda': 0.3457619955823943}. Best is trial 8 with value: 0.2772823678514382.
[I 2024-09-19 23:43:26,769] Trial 10 finished with value: 0.4473735196105803 and parameters: {'n_estimators': 699, 'max_depth': 10, 'min_child_weight': 6, 'learning_rate': 0.010279170959959666, 'subsample': 0.7981024410119127, 'colsample_bytree': 0.6862640953984511, 'colsample_bylevel': 0.7138117861386113, 'gamma': 2.927862711773079, 'reg_alpha': 0.4398047294343039, 'reg_lambda': 7.033010810000295}. Best is trial 8 with value: 0.2772823678514382.
[I 2024-09-19 23:43:44,392] Trial 11 finished with value: 0.3190991995540025 and parameters: {'n_estimators': 679, 'max_depth': 4, 'min_child_weight': 8, 'learning_rate': 0.28080940441026414, 'subsample': 0.9874811301378974, 'colsample_bytree': 0.6898301924556295, 'colsample_bylevel': 0.612276663523567, 'gamma': 4.882187886319392, 'reg_alpha': 0.9685379425967142, 'reg_lambda': 3.626476366907883}. Best is trial 8 with value: 0.2772823678514382.
[I 2024-09-19 23:44:13,521] Trial 12 finished with value: 0.2791501699643021 and parameters: {'n_estimators': 704, 'max_depth': 10, 'min_child_weight': 10, 'learning_rate': 0.16527911020069933, 'subsample': 0.8147116486267232, 'colsample_bytree': 0.5069951578409455, 'colsample_bylevel': 0.5945945074089456, 'gamma': 3.440515255151876, 'reg_alpha': 0.6573971034767023, 'reg_lambda': 4.111763731027378}. Best is trial 8 with value: 0.2772823678514382.
[I 2024-09-19 23:44:42,266] Trial 13 finished with value: 0.26171101348715686 and parameters: {'n_estimators': 708, 'max_depth': 10, 'min_child_weight': 10, 'learning_rate': 0.27407132159140746, 'subsample': 0.7971783930313793, 'colsample_bytree': 0.50098735272466, 'colsample_bylevel': 0.5355304495465949, 'gamma': 2.7669207020083477, 'reg_alpha': 0.6010483323364276, 'reg_lambda': 6.381608126463302}. Best is trial 13 with value: 0.26171101348715686.
[I 2024-09-19 23:44:57,620] Trial 14 finished with value: 0.27498948723565225 and parameters: {'n_estimators': 358, 'max_depth': 9, 'min_child_weight': 10, 'learning_rate': 0.25134940791021626, 'subsample': 0.7749900804010266, 'colsample_bytree': 0.9929631831750245, 'colsample_bylevel': 0.5355419676968536, 'gamma': 2.1878916052513837, 'reg_alpha': 0.47574038107972405, 'reg_lambda': 6.87324778458278}. Best is trial 13 with value: 0.26171101348715686.
[I 2024-09-19 23:45:13,224] Trial 15 finished with value: 0.2745724786457039 and parameters: {'n_estimators': 358, 'max_depth': 9, 'min_child_weight': 8, 'learning_rate': 0.2796664404977905, 'subsample': 0.7799311700659208, 'colsample_bytree': 0.9762636867452092, 'colsample_bylevel': 0.5090123012806436, 'gamma': 2.0675667814479626, 'reg_alpha': 0.3667348501128182, 'reg_lambda': 8.64814437530995}. Best is trial 13 with value: 0.26171101348715686.
[I 2024-09-19 23:45:29,125] Trial 16 finished with value: 0.43131961968719634 and parameters: {'n_estimators': 367, 'max_depth': 9, 'min_child_weight': 8, 'learning_rate': 0.028291707009897974, 'subsample': 0.8437799275089429, 'colsample_bytree': 0.9801270803511211, 'colsample_bylevel': 0.5022961656933356, 'gamma': 1.680969586934086, 'reg_alpha': 0.30806492349009706, 'reg_lambda': 9.834061604672067}. Best is trial 13 with value: 0.26171101348715686.
[I 2024-09-19 23:45:45,470] Trial 17 finished with value: 0.2765446407338957 and parameters: {'n_estimators': 392, 'max_depth': 8, 'min_child_weight': 6, 'learning_rate': 0.27969576340272323, 'subsample': 0.987429328940576, 'colsample_bytree': 0.7434251188982723, 'colsample_bylevel': 0.5825914353768127, 'gamma': 0.18145175327460228, 'reg_alpha': 0.34046991006267413, 'reg_lambda': 8.179034527246554}. Best is trial 13 with value: 0.26171101348715686.
[I 2024-09-19 23:46:02,493] Trial 18 finished with value: 0.32648265193179365 and parameters: {'n_estimators': 554, 'max_depth': 5, 'min_child_weight': 7, 'learning_rate': 0.17684137423052607, 'subsample': 0.7466982557020199, 'colsample_bytree': 0.9238969056916491, 'colsample_bylevel': 0.7043184067221447, 'gamma': 2.7809257798592313, 'reg_alpha': 0.6445381558181932, 'reg_lambda': 8.41205564977714}. Best is trial 13 with value: 0.26171101348715686.
[I 2024-09-19 23:46:14,598] Trial 19 finished with value: 0.49291300348970635 and parameters: {'n_estimators': 225, 'max_depth': 8, 'min_child_weight': 9, 'learning_rate': 0.010230246114693553, 'subsample': 0.6138886164086909, 'colsample_bytree': 0.849927498980978, 'colsample_bylevel': 0.5138572362724215, 'gamma': 2.1201359215422606, 'reg_alpha': 0.4227380758241959, 'reg_lambda': 8.801959453154534}. Best is trial 13 with value: 0.26171101348715686.
[I 2024-09-19 23:46:32,472] Trial 20 finished with value: 0.30993678631939076 and parameters: {'n_estimators': 442, 'max_depth': 9, 'min_child_weight': 9, 'learning_rate': 0.13969746582108272, 'subsample': 0.9312998492874751, 'colsample_bytree': 0.7044595135282888, 'colsample_bylevel': 0.5693786819054177, 'gamma': 1.7907266514540252, 'reg_alpha': 0.7690511369797204, 'reg_lambda': 5.66953278518338}. Best is trial 13 with value: 0.26171101348715686.
[I 2024-09-19 23:46:47,697] Trial 21 finished with value: 0.2848199765329392 and parameters: {'n_estimators': 321, 'max_depth': 9, 'min_child_weight': 10, 'learning_rate': 0.2887562232551516, 'subsample': 0.7806914108376015, 'colsample_bytree': 0.9818884306038138, 'colsample_bylevel': 0.5508176591071647, 'gamma': 2.430986032206376, 'reg_alpha': 0.42737334195745413, 'reg_lambda': 6.971142270904224}. Best is trial 13 with value: 0.26171101348715686.
[I 2024-09-19 23:47:03,299] Trial 22 finished with value: 0.29255947634858004 and parameters: {'n_estimators': 299, 'max_depth': 10, 'min_child_weight': 9, 'learning_rate': 0.2188278424504431, 'subsample': 0.7696264641967024, 'colsample_bytree': 0.9995527542143896, 'colsample_bylevel': 0.6228411804394294, 'gamma': 2.505130617729736, 'reg_alpha': 0.5618959352907705, 'reg_lambda': 7.509772522101002}. Best is trial 13 with value: 0.26171101348715686.
[I 2024-09-19 23:47:31,165] Trial 23 finished with value: 0.2545289386815087 and parameters: {'n_estimators': 623, 'max_depth': 9, 'min_child_weight': 8, 'learning_rate': 0.23394700984894112, 'subsample': 0.8342146650367478, 'colsample_bytree': 0.9348202296726447, 'colsample_bylevel': 0.5007108854357988, 'gamma': 3.5248063580557587, 'reg_alpha': 0.20941031708940216, 'reg_lambda': 6.243392188466919}. Best is trial 23 with value: 0.2545289386815087.
[I 2024-09-19 23:47:58,239] Trial 24 finished with value: 0.26432424737055216 and parameters: {'n_estimators': 631, 'max_depth': 8, 'min_child_weight': 7, 'learning_rate': 0.20945945947703887, 'subsample': 0.8492683326401439, 'colsample_bytree': 0.9420430773019457, 'colsample_bylevel': 0.5150105596560594, 'gamma': 3.340583248469784, 'reg_alpha': 0.12926459501996052, 'reg_lambda': 6.3051623945518935}. Best is trial 23 with value: 0.2545289386815087.
[I 2024-09-19 23:48:23,619] Trial 25 finished with value: 0.3387735066254749 and parameters: {'n_estimators': 631, 'max_depth': 8, 'min_child_weight': 7, 'learning_rate': 0.07121029314365515, 'subsample': 0.8417119948552213, 'colsample_bytree': 0.8682297649620624, 'colsample_bylevel': 0.5687581573999706, 'gamma': 3.4020380995527253, 'reg_alpha': 0.011507849929864339, 'reg_lambda': 6.071205989227161}. Best is trial 23 with value: 0.2545289386815087.
[I 2024-09-19 23:48:58,363] Trial 26 finished with value: 0.2564824937841807 and parameters: {'n_estimators': 768, 'max_depth': 10, 'min_child_weight': 5, 'learning_rate': 0.1500007096057283, 'subsample': 0.927517950585179, 'colsample_bytree': 0.9394066329082955, 'colsample_bylevel': 0.6452973828629257, 'gamma': 4.439915543502178, 'reg_alpha': 0.17436941224101535, 'reg_lambda': 4.703020904747575}. Best is trial 23 with value: 0.2545289386815087.
[I 2024-09-19 23:49:33,290] Trial 27 finished with value: 0.2709557567674682 and parameters: {'n_estimators': 784, 'max_depth': 10, 'min_child_weight': 5, 'learning_rate': 0.1302201574040674, 'subsample': 0.941168233807645, 'colsample_bytree': 0.8167293711558529, 'colsample_bylevel': 0.6355706826288551, 'gamma': 4.306507585432662, 'reg_alpha': 0.1838047001037233, 'reg_lambda': 4.685080154972205}. Best is trial 23 with value: 0.2545289386815087.
[I 2024-09-19 23:50:08,735] Trial 28 finished with value: 0.25759849320109907 and parameters: {'n_estimators': 763, 'max_depth': 10, 'min_child_weight': 5, 'learning_rate': 0.16633353711513932, 'subsample': 0.9367655422696177, 'colsample_bytree': 0.8751823993879566, 'colsample_bylevel': 0.6872564400631357, 'gamma': 4.343021773870553, 'reg_alpha': 0.25161203834195534, 'reg_lambda': 4.947968629287329}. Best is trial 23 with value: 0.2545289386815087.
[I 2024-09-19 23:50:41,658] Trial 29 finished with value: 0.2940968928730617 and parameters: {'n_estimators': 745, 'max_depth': 10, 'min_child_weight': 5, 'learning_rate': 0.08028434190968253, 'subsample': 0.9409577118442009, 'colsample_bytree': 0.9437807294351674, 'colsample_bylevel': 0.7483828008010366, 'gamma': 4.344887300527469, 'reg_alpha': 0.24036691684828057, 'reg_lambda': 4.78573248621044}. Best is trial 23 with value: 0.2545289386815087.
[I 2024-09-19 23:51:14,541] Trial 30 finished with value: 0.25515717151626693 and parameters: {'n_estimators': 777, 'max_depth': 9, 'min_child_weight': 3, 'learning_rate': 0.18167284214915677, 'subsample': 0.9203599389435729, 'colsample_bytree': 0.8754293579764442, 'colsample_bylevel': 0.6820734010852456, 'gamma': 4.291280676197402, 'reg_alpha': 0.12880778704370116, 'reg_lambda': 3.4016696671525617}. Best is trial 23 with value: 0.2545289386815087.
[I 2024-09-19 23:51:47,926] Trial 31 finished with value: 0.244332978635689 and parameters: {'n_estimators': 780, 'max_depth': 9, 'min_child_weight': 3, 'learning_rate': 0.19550060075611705, 'subsample': 0.9123174870275178, 'colsample_bytree': 0.8837662724598767, 'colsample_bylevel': 0.6842875030377347, 'gamma': 4.4074681990458195, 'reg_alpha': 0.13641305167797307, 'reg_lambda': 3.065575752435407}. Best is trial 31 with value: 0.244332978635689.
[I 2024-09-19 23:52:25,278] Trial 32 finished with value: 0.2460209923420794 and parameters: {'n_estimators': 800, 'max_depth': 9, 'min_child_weight': 2, 'learning_rate': 0.2127008194230277, 'subsample': 0.8994693712230152, 'colsample_bytree': 0.8894974514489703, 'colsample_bylevel': 0.7575938193102933, 'gamma': 3.9229310420873853, 'reg_alpha': 0.1269557094384831, 'reg_lambda': 2.9505775089587694}. Best is trial 31 with value: 0.244332978635689.
[I 2024-09-19 23:52:50,953] Trial 33 finished with value: 0.25591301738837113 and parameters: {'n_estimators': 625, 'max_depth': 8, 'min_child_weight': 2, 'learning_rate': 0.23461052921408382, 'subsample': 0.8860270586157434, 'colsample_bytree': 0.8200216335895393, 'colsample_bylevel': 0.7457284514063047, 'gamma': 3.886227066343515, 'reg_alpha': 0.08101592696864685, 'reg_lambda': 2.781593860938848}. Best is trial 31 with value: 0.244332978635689.
[I 2024-09-19 23:53:27,063] Trial 34 finished with value: 0.24646587337231898 and parameters: {'n_estimators': 822, 'max_depth': 9, 'min_child_weight': 3, 'learning_rate': 0.19606635050986285, 'subsample': 0.9597895806384893, 'colsample_bytree': 0.7804218463334259, 'colsample_bylevel': 0.8356532151142682, 'gamma': 3.945361578494551, 'reg_alpha': 0.014629334440488667, 'reg_lambda': 1.4978870656761272}. Best is trial 31 with value: 0.244332978635689.
[I 2024-09-19 23:54:02,763] Trial 35 finished with value: 0.27639674177715995 and parameters: {'n_estimators': 820, 'max_depth': 9, 'min_child_weight': 2, 'learning_rate': 0.11822985986915566, 'subsample': 0.9555911199055835, 'colsample_bytree': 0.7836185617647057, 'colsample_bylevel': 0.8266931819136168, 'gamma': 3.877694265059136, 'reg_alpha': 0.008194654723997497, 'reg_lambda': 1.1098418380104582}. Best is trial 31 with value: 0.244332978635689.
